system,component,component_type,stride,stride_name,risk_score,risk_level
Arquitetura 1 (AWS) — SEI/SIP,Usuários SEI,user,S,Spoofing,2,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Usuários SEI,user,R,Repudiation,2,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,AWS Shield,ddos_protection,D,Denial of Service,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,Amazon CloudFront,cdn,T,Tampering,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,Amazon CloudFront,cdn,I,Information Disclosure,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,Amazon CloudFront,cdn,D,Denial of Service,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,AWS WAF,waf,D,Denial of Service,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,AWS WAF,waf,T,Tampering,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,VPC,network_boundary,T,Tampering,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,VPC,network_boundary,I,Information Disclosure,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,VPC,network_boundary,D,Denial of Service,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,VPC,network_boundary,S,Spoofing,2,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet A,subnet_public,I,Information Disclosure,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet A,subnet_public,D,Denial of Service,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet A,subnet_public,T,Tampering,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet B,subnet_public,I,Information Disclosure,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet B,subnet_public,D,Denial of Service,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet B,subnet_public,T,Tampering,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet C,subnet_public,I,Information Disclosure,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet C,subnet_public,D,Denial of Service,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Public Subnet C,subnet_public,T,Tampering,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer A,load_balancer,D,Denial of Service,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer A,load_balancer,T,Tampering,5,MÉDIO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer A,load_balancer,S,Spoofing,4,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer B,load_balancer,D,Denial of Service,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer B,load_balancer,T,Tampering,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer B,load_balancer,S,Spoofing,2,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer C,load_balancer,D,Denial of Service,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer C,load_balancer,T,Tampering,3,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,Application Load Balancer C,load_balancer,S,Spoofing,2,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,SEI/SIP App Server A,app_server,E,Elevation of Privilege,4,BAIXO
Arquitetura 1 (AWS) — SEI/SIP,SEI/SIP App Server A,app_server,T,Tampering,3,BAIXO
